bowler,balls_bowled,runs_conceded,wickets_taken,innings,overs_bowled,economy_rate,bowling_avg,bowling_strike_rate
SL Malinga,2549,2824,138,110,424.83,6.65,20.46,18.47
A Mishra,2677,3270,128,126,446.17,7.33,25.55,20.91
Harbhajan Singh,2976,3439,126,134,496.0,6.93,27.29,23.62
PP Chawla,2576,3283,122,128,429.33,7.65,26.91,21.11
R Ashwin,2344,2513,99,108,390.67,6.43,25.38,23.68
DJ Bravo,1884,2430,96,102,314.0,7.74,25.31,19.62
Z Khan,2220,2759,96,99,370.0,7.46,28.74,23.12
A Nehra,1864,2347,92,88,310.67,7.55,25.51,20.26
B Kumar,1861,2146,89,87,310.17,6.92,24.11,20.91
PP Ojha,1930,2373,87,90,321.67,7.38,27.28,22.18
DW Steyn,2099,2267,85,90,349.83,6.48,26.67,24.69
SP Narine,1862,1956,84,80,310.33,6.3,23.29,22.17
R Vinay Kumar,1954,2624,83,102,325.67,8.06,31.61,23.54
JA Morkel,1776,2353,83,87,296.0,7.95,28.35,21.4
UT Yadav,1887,2565,81,93,314.5,8.16,31.67,23.3
RA Jadeja,1940,2497,80,112,323.33,7.72,31.21,24.25
SR Watson,1797,2203,78,93,299.5,7.36,28.24,23.04
P Kumar,2479,3089,78,118,413.17,7.48,39.6,31.78
RP Singh,1707,2149,76,82,284.5,7.55,28.28,22.46
MM Sharma,1477,1938,74,75,246.17,7.87,26.19,19.96
DS Kulkarni,1413,1802,73,71,235.5,7.65,24.68,19.36
M Morkel,1639,2039,73,69,273.17,7.46,27.93,22.45
YS Chahal,1188,1549,68,54,198.0,7.82,22.78,17.47
IK Pathan,1944,2447,67,101,324.0,7.55,36.52,29.01
Sandeep Sharma,1199,1483,66,56,199.83,7.42,22.47,18.17
MM Patel,1292,1574,65,63,215.33,7.31,24.22,19.88
R Bhatia,1621,1993,63,90,270.17,7.38,31.63,25.73
M Muralitharan,1574,1754,63,66,262.33,6.69,27.84,24.98
AB Dinda,1465,1827,61,75,244.17,7.48,29.95,24.02
SK Trivedi,1515,1888,60,75,252.5,7.48,31.47,25.25
JH Kallis,1740,2243,60,89,290.0,7.73,37.38,29.0
L Balaji,1420,1819,59,72,236.67,7.69,30.83,24.07
MG Johnson,1149,1490,57,48,191.5,7.78,26.14,20.16
AR Patel,1262,1550,57,59,210.33,7.37,27.19,22.14
SK Warne,1211,1447,56,54,201.83,7.17,25.84,21.62
I Sharma,1652,2157,56,76,275.33,7.83,38.52,29.5
JP Faulkner,1190,1657,54,60,198.33,8.35,30.69,22.04
KV Sharma,1046,1357,50,55,174.33,7.78,27.14,20.92
MJ McClenaghan,949,1299,50,40,158.17,8.21,25.98,18.98
KA Pollard,1185,1625,49,79,197.5,8.23,33.16,24.18
SB Jakati,1100,1468,47,57,183.33,8.01,31.23,23.4
JD Unadkat,943,1245,47,46,157.17,7.92,26.49,20.06
CH Morris,925,1139,45,48,154.17,7.39,25.31,20.56
Imran Tahir,719,981,45,32,119.83,8.19,21.8,15.98
A Kumble,972,1072,43,42,162.0,6.62,24.93,22.6
S Sreesanth,941,1213,41,44,156.83,7.73,29.59,22.95
Shakib Al Hasan,926,1083,41,42,154.33,7.02,26.41,22.59
Iqbal Abdulla,931,1107,40,47,155.17,7.13,27.68,23.28
S Aravind,733,980,40,37,122.17,8.02,24.5,18.32
YK Pathan,1141,1388,40,79,190.17,7.3,34.7,28.52
R Sharma,935,1100,40,44,155.83,7.06,27.5,23.38
P Awana,749,1002,39,33,124.83,8.03,25.69,19.21
JJ Bumrah,987,1269,37,47,164.5,7.71,34.3,26.68
S Nadeem,1131,1320,37,53,188.5,7.0,35.68,30.57
MS Gony,906,1268,37,44,151.0,8.4,34.27,24.49
Yuvraj Singh,869,1068,36,71,144.83,7.37,29.67,24.14
VR Aaron,873,1189,36,40,145.5,8.17,33.03,24.25
MC Henriques,863,1167,36,52,143.83,8.11,32.42,23.97
PJ Sangwan,818,1152,33,38,136.33,8.45,34.91,24.79
RJ Harris,781,941,32,37,130.17,7.23,29.41,24.41
HV Patel,690,974,31,34,115.0,8.47,31.42,22.26
KK Cooper,562,724,31,25,93.67,7.73,23.35,18.13
M Kartik,1176,1408,31,55,196.0,7.18,45.42,37.94
NM Coulter-Nile,541,676,31,25,90.17,7.5,21.81,17.45
DE Bollinger,537,653,30,27,89.5,7.3,21.77,17.9
PV Tambe,674,866,28,33,112.33,7.71,30.93,24.07
DL Vettori,780,877,28,34,130.0,6.75,31.32,27.86
P Negi,627,797,27,35,104.5,7.63,29.52,23.22
AB Agarkar,769,1108,26,42,128.17,8.64,42.62,29.58
