season,team,total_matches,wins,losses,win_pct
2007/08,Rajasthan Royals,16,13,3,81.2
2007/08,Punjab Kings,15,10,5,66.7
2007/08,Chennai Super Kings,16,9,7,56.2
2007/08,Delhi Capitals,14,7,7,50.0
2007/08,Mumbai Indians,14,7,7,50.0
2007/08,Kolkata Knight Riders,13,6,7,46.2
2007/08,Royal Challengers Bangalore,14,4,10,28.6
2007/08,Deccan Chargers,14,2,12,14.3
2009,Delhi Capitals,15,10,5,66.7
2009,Chennai Super Kings,14,8,6,57.1
2009,Deccan Chargers,16,9,7,56.2
2009,Royal Challengers Bangalore,16,9,7,56.2
2009,Punjab Kings,14,7,7,50.0
2009,Rajasthan Royals,13,6,7,46.2
2009,Mumbai Indians,13,5,8,38.5
2009,Kolkata Knight Riders,13,3,10,23.1
2009/10,Mumbai Indians,16,11,5,68.8
2009/10,Chennai Super Kings,16,9,7,56.2
2009/10,Deccan Chargers,16,8,8,50.0
2009/10,Delhi Capitals,14,7,7,50.0
2009/10,Kolkata Knight Riders,14,7,7,50.0
2009/10,Royal Challengers Bangalore,16,8,8,50.0
2009/10,Rajasthan Royals,14,6,8,42.9
2009/10,Punjab Kings,14,4,10,28.6
2011,Chennai Super Kings,16,11,5,68.8
2011,Mumbai Indians,16,10,6,62.5
2011,Royal Challengers Bangalore,16,10,6,62.5
2011,Kolkata Knight Riders,15,8,7,53.3
2011,Punjab Kings,14,7,7,50.0
2011,Rajasthan Royals,13,6,7,46.2
2011,Deccan Chargers,14,6,8,42.9
2011,Kochi Tuskers Kerala,14,6,8,42.9
2011,Delhi Capitals,13,4,9,30.8
2011,Pune Warriors,13,4,9,30.8
2012,Kolkata Knight Riders,17,12,5,70.6
2012,Delhi Capitals,18,11,7,61.1
2012,Mumbai Indians,17,10,7,58.8
2012,Chennai Super Kings,18,10,8,55.6
2012,Royal Challengers Bangalore,15,8,7,53.3
2012,Punjab Kings,16,8,8,50.0
2012,Rajasthan Royals,16,7,9,43.8
2012,Deccan Chargers,15,4,11,26.7
2012,Pune Warriors,16,4,12,25.0
2013,Mumbai Indians,19,13,6,68.4
2013,Chennai Super Kings,18,12,6,66.7
2013,Rajasthan Royals,18,11,7,61.1
2013,Sunrisers Hyderabad,17,10,7,58.8
2013,Royal Challengers Bangalore,16,9,7,56.2
2013,Punjab Kings,16,8,8,50.0
2013,Kolkata Knight Riders,16,6,10,37.5
2013,Pune Warriors,16,4,12,25.0
2013,Delhi Capitals,16,3,13,18.8
2014,Punjab Kings,17,12,5,70.6
2014,Kolkata Knight Riders,16,11,5,68.8
2014,Chennai Super Kings,16,10,6,62.5
2014,Rajasthan Royals,14,7,7,50.0
2014,Mumbai Indians,15,7,8,46.7
2014,Sunrisers Hyderabad,14,6,8,42.9
2014,Royal Challengers Bangalore,14,5,9,35.7
2014,Delhi Capitals,14,2,12,14.3
2015,Mumbai Indians,16,10,6,62.5
2015,Chennai Super Kings,17,10,7,58.8
2015,Royal Challengers Bangalore,14,8,6,57.1
2015,Kolkata Knight Riders,13,7,6,53.8
2015,Rajasthan Royals,13,7,6,53.8
2015,Sunrisers Hyderabad,14,7,7,50.0
2015,Delhi Capitals,13,5,8,38.5
2015,Punjab Kings,14,3,11,21.4
2016,Sunrisers Hyderabad,17,11,6,64.7
2016,Gujarat Lions,16,9,7,56.2
2016,Royal Challengers Bangalore,16,9,7,56.2
2016,Kolkata Knight Riders,15,8,7,53.3
